"species","Type","Reitur","km","Fluor","Brennisteinn","Stadur","Mynd","Year","Value","PointType"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R14",2,0,0,"Bjarnarholt","24. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Physcia caesia","Blað- og runnfléttur","R15",,,,,,2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Xanthoria candelaria","Blað- og runnfléttur","R15",,,,,,2023,25,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Amphidium lapponicum","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,12,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia montana","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 3","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 3","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 4","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 4","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Mosi 5","Mosar","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia chlorophaea","Blað- og runnfléttur","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia chlorophaea","Blað- og runnfléttur","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R16",8.7,0,0,"Tíðaskarð","31. mynd",2020,10,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia saxatilis","Blað- og runnfléttur","R16",8.7,0,0,"Tíðaskarð","31. mynd",2023,9,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R17",8.7,0,0,"Tíðaskarð","31. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium papillosum","Mosar","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Schistidium papillosum","Mosar","R17",8.7,0,0,"Tíðaskarð","31. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia sp","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,68,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2023,68,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Sphaerophorus fragilis","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Sphaerophorus fragilis","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2023,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R17",8.7,0,0,"Tíðaskarð","31. mynd",2023,2,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,7,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Frullania tamarisci","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia funalis","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Grimmia funalis","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Pogonatum urnigerum","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium fasciculare","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,3,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium heterostichum","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,8,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Racomitrium lanuginosum","Mosar","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Cladonia borealis","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,13,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Parmelia omphalodes","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,14,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Sphaerophorus fragilis","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2020,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Umbilicaria torrefacta","Blað- og runnfléttur","R18",8.7,0,0,"Tíðaskarð","31. mynd",2023,0.5,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Amphidium lapponicum","Mosar","R19",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Amphidium lapponicum","Mosar","R19",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,0.1,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2020,6,"Utan þynningarsvæðis iðnaðarsvæðisins"
"Andreaea rupestris","Mosar","R20",3.9,0,0,"Ofan Hvalfjarðareyrar","28. mynd",2023,11,"Utan þynningarsvæðis iðnaðarsvæðisins"
