"species","Type","Reitur","Year","Coverage"
"Sphaerophorus fragilis","Blað- og runnfléttur","R3","2023",0.5
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2014",15
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2017",25
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2020",17
"Stereocaulon vesuvianum","Blað- og runnfléttur","R3","2023",17
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2014",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2017",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2020",0.5
"Umbilicaria torrefacta","Blað- og runnfléttur","R3","2023",0.1
"Amygdalaria pelobotryon","Hrúðurfléttur","R3","2014",0.5
"Amygdalaria pelobotryon","Hrúðurfléttur","R3","2017",0.5
"Amygdalaria pelobotryon","Hrúðurfléttur","R3","2020",0.5
"Amygdalaria pelobotryon","Hrúðurfléttur","R3","2023",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","2014",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","2017",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","2020",0.5
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R3","2023",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R3","2014",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R3","2017",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R3","2020",0.5
"Bellemerea subsorediza","Hrúðurfléttur","R3","2023",0.5
"Calvitimela aglaea","Hrúðurfléttur","R3","2014",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2017",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2020",1
"Calvitimela aglaea","Hrúðurfléttur","R3","2023",1
"Catillaria contristans","Hrúðurfléttur","R3","2014",2
"Catillaria contristans","Hrúðurfléttur","R3","2017",1
"Catillaria contristans","Hrúðurfléttur","R3","2020",1
"Catillaria contristans","Hrúðurfléttur","R3","2023",3
"Immersaria athroocarpa","Hrúðurfléttur","R3","2014",1
"Immersaria athroocarpa","Hrúðurfléttur","R3","2017",0.5
"Immersaria athroocarpa","Hrúðurfléttur","R3","2020",1
"Immersaria athroocarpa","Hrúðurfléttur","R3","2023",0.5
"Lecanora intricata","Hrúðurfléttur","R3","2014",1
"Lecanora intricata","Hrúðurfléttur","R3","2017",0.5
"Lecanora intricata","Hrúðurfléttur","R3","2020",1
"Lecanora intricata","Hrúðurfléttur","R3","2023",0.5
"Lecanora polytropa","Hrúðurfléttur","R3","2014",3
"Lecanora polytropa","Hrúðurfléttur","R3","2017",2
"Lecanora polytropa","Hrúðurfléttur","R3","2020",3
"Lecanora polytropa","Hrúðurfléttur","R3","2023",0.5
"Lecanora sp.","Hrúðurfléttur","R3","2014",0.5
"Lecanora sp.","Hrúðurfléttur","R3","2017",0.5
"Lecanora sp.","Hrúðurfléttur","R3","2020",0.5
"Lecanora sp.","Hrúðurfléttur","R3","2023",3
"Lecidea lapicida","Hrúðurfléttur","R3","2014",0.5
"Lecidea lapicida","Hrúðurfléttur","R3","2017",0.5
"Lecidea lapicida","Hrúðurfléttur","R3","2020",2
"Lecidea lapicida","Hrúðurfléttur","R3","2023",2
"Lecidea praenubila","Hrúðurfléttur","R3","2014",0.5
"Lecidea praenubila","Hrúðurfléttur","R3","2017",3
"Lecidea praenubila","Hrúðurfléttur","R3","2020",3
"Lecidea praenubila","Hrúðurfléttur","R3","2023",2
"Lecidea tesselata","Hrúðurfléttur","R3","2014",2
"Lecidea tesselata","Hrúðurfléttur","R3","2017",2
"Lecidea tesselata","Hrúðurfléttur","R3","2020",0.5
"Lecidea tesselata","Hrúðurfléttur","R3","2023",2
"Lepra corallina","Hrúðurfléttur","R3","2014",2
"Lepra corallina","Hrúðurfléttur","R3","2017",3
"Lepra corallina","Hrúðurfléttur","R3","2020",3
"Lepra corallina","Hrúðurfléttur","R3","2023",2
"Pertusaria aspergilla","Hrúðurfléttur","R3","2014",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R3","2017",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R3","2020",0.5
"Pertusaria aspergilla","Hrúðurfléttur","R3","2023",0.5
"Placopsis gelida","Hrúðurfléttur","R3","2014",0.5
"Placopsis gelida","Hrúðurfléttur","R3","2017",0.5
"Placopsis gelida","Hrúðurfléttur","R3","2020",0.5
"Placopsis gelida","Hrúðurfléttur","R3","2023",0.5
"Porpidia melinodes","Hrúðurfléttur","R3","2014",0.5
"Porpidia melinodes","Hrúðurfléttur","R3","2017",0.5
"Porpidia melinodes","Hrúðurfléttur","R3","2020",0.5
"Porpidia melinodes","Hrúðurfléttur","R3","2023",0.5
"Protoparmelia badia","Hrúðurfléttur","R3","2014",0.5
"Protoparmelia badia","Hrúðurfléttur","R3","2017",0.5
"Protoparmelia badia","Hrúðurfléttur","R3","2020",0.5
"Protoparmelia badia","Hrúðurfléttur","R3","2023",0.5
"Rhizocarpon geographicum","Hrúðurfléttur","R3","2014",5
"Rhizocarpon geographicum","Hrúðurfléttur","R3","2017",8
"Rhizocarpon geographicum","Hrúðurfléttur","R3","2020",12
"Rhizocarpon geographicum","Hrúðurfléttur","R3","2023",9
"Tephromela atra","Hrúðurfléttur","R3","2014",0.5
"Tephromela atra","Hrúðurfléttur","R3","2017",1
"Tephromela atra","Hrúðurfléttur","R3","2020",1
"Tephromela atra","Hrúðurfléttur","R3","2023",0.5
"Tremolecia atrata","Hrúðurfléttur","R3","2014",0.5
"Tremolecia atrata","Hrúðurfléttur","R3","2017",0.5
"Tremolecia atrata","Hrúðurfléttur","R3","2020",0.01
"Tremolecia atrata","Hrúðurfléttur","R3","2023",0.5
"Varicellaria lactea","Hrúðurfléttur","R3","2014",2
"Varicellaria lactea","Hrúðurfléttur","R3","2017",2
"Varicellaria lactea","Hrúðurfléttur","R3","2020",2
"Varicellaria lactea","Hrúðurfléttur","R3","2023",2
"Svart hrúður","Hrúðurfléttur","R3","2014",5
"Svart hrúður","Hrúðurfléttur","R3","2017",15
"Svart hrúður","Hrúðurfléttur","R3","2020",10
"Svart hrúður","Hrúðurfléttur","R3","2023",8
"Óaðgreindar tegundir","Hrúðurfléttur","R3","2014",10
"Óaðgreindar tegundir","Hrúðurfléttur","R3","2017",5
"Óaðgreindar tegundir","Hrúðurfléttur","R3","2020",10
"Óaðgreindar tegundir","Hrúðurfléttur","R3","2023",13
"Ber klöpp","Hrúðurfléttur","R3","2014",3
"Ber klöpp","Hrúðurfléttur","R3","2017",2
"Ber klöpp","Hrúðurfléttur","R3","2020",5
"Ber klöpp","Hrúðurfléttur","R3","2023",0.5
"Andreaea rupestris","Mosar","R4","2014",0.5
"Andreaea rupestris","Mosar","R4","2017",0.5
"Andreaea rupestris","Mosar","R4","2020",0.5
"Andreaea rupestris","Mosar","R4","2023",0.5
"Bryum capillare","Mosar","R4","2014",0.5
"Bryum capillare","Mosar","R4","2017",0.5
"Bryum capillare","Mosar","R4","2020",0.5
"Bryum capillare","Mosar","R4","2023",0.5
"Homalothecium sericeum","Mosar","R4","2014",0.5
"Homalothecium sericeum","Mosar","R4","2017",0.5
