"species","Type","Reitur","1976","1997","2006","2011","2014","2017","2020","2023","1999"
"Calvitimela aglaea","Hrúðurfléttur","R5",1,1,NA,0.5,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R5",1,0.5,NA,0.5,NA,NA,NA,NA,NA
"Catillaria contristans","Hrúðurfléttur","R5",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Lecanora intricata","Hrúðurfléttur","R5",1.5,2,NA,1,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R5",1,1,NA,NA,NA,NA,NA,NA,NA
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R5",0.5,1,NA,1,NA,NA,NA,NA,NA
"Lecidea praenubila","Hrúðurfléttur","R5",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Lecidea tesselata","Hrúðurfléttur","R5",2,3,NA,NA,NA,NA,NA,NA,NA
"Lepra corallina","Hrúðurfléttur","R5",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Myriospora smaragdula","Hrúðurfléttur","R5",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Ochrolechia androgyna","Hrúðurfléttur","R5",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Porpidia melinodes","Hrúðurfléttur","R5",1,0.5,NA,NA,NA,NA,NA,NA,NA
"Protoparmelia badia","Hrúðurfléttur","R5",2,1,NA,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R5",1,0.5,NA,0.5,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R5",1,NA,NA,NA,NA,NA,NA,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R5",0.5,NA,NA,NA,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R5",3,3,NA,4,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R5",NA,NA,NA,10,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R6",1,1,NA,NA,NA,NA,NA,NA,NA
"Grimmia donniana","Mosar","R6",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Umbilicaria torrefacta","Blað- og runnfléttur","R6",1,4,NA,1,NA,NA,NA,NA,NA
"Acarospora veronensis","Hrúðurfléttur","R6",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R6",23,11,NA,5,NA,NA,NA,NA,NA
"Candelariella vitellina","Hrúðurfléttur","R6",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Immersaria athroocarpa","Hrúðurfléttur","R6",NA,0.5,NA,NA,NA,NA,NA,NA,NA
"Lecanora intricata","Hrúðurfléttur","R6",NA,NA,NA,0.5,NA,NA,NA,NA,NA
"Lecanora polytropa","Hrúðurfléttur","R6",1,2,NA,NA,NA,NA,NA,NA,NA
"Lecidea tesselata","Hrúðurfléttur","R6",NA,7,NA,NA,NA,NA,NA,NA,NA
"Lepra corallina","Hrúðurfléttur","R6",5,5,NA,NA,NA,NA,NA,NA,NA
"Protoparmelia badia","Hrúðurfléttur","R6",0.5,2,NA,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R6",1,0.5,NA,NA,NA,NA,NA,NA,NA
"Tephromela atra","Hrúðurfléttur","R6",2,1,NA,NA,NA,NA,NA,NA,NA
"Tremolecia atrata","Hrúðurfléttur","R6",0.5,0.5,NA,NA,NA,NA,NA,NA,NA
"Óaðgreindar tegundir","Hrúðurfléttur","R6",5,5,NA,2,NA,NA,NA,NA,NA
"Ber klöpp","Hrúðurfléttur","R6",NA,NA,NA,2,NA,NA,NA,NA,NA
"Andreaea rupestris","Mosar","R8",2,2,2,2,2,3,3,2,NA
"Grimmia montana","Mosar","R8",3,2,1,1,0.5,NA,0.5,0.5,NA
"Racomitrium fasciculare","Mosar","R8",0.5,5,5,4,5,7,6,7,NA
"Racomitrium heterostichum","Mosar","R8",12,3,12,13,16,32,33,31,NA
"Stereocaulon vesuvianum","Blað- og runnfléttur","R8",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,NA
"Umbilicaria proboscidea","Blað- og runnfléttur","R8",1,7,12,12,9,15,15,12,NA
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R8",25,20,8,NA,0.5,2,1,0.5,NA
"Calvitimela aglaea","Hrúðurfléttur","R8",NA,0.5,0.5,0.5,0.5,0.5,0.1,0.5,NA
"Candelariella vitellina","Hrúðurfléttur","R8",0.5,0.5,0.5,0.5,NA,NA,NA,NA,NA
"Immersaria athroocarpa","Hrúðurfléttur","R8",NA,1,1,0.5,1,1,2,2,NA
"Lecanora intricata","Hrúðurfléttur","R8",0.5,0.5,0.5,NA,NA,NA,0.1,0.1,NA
"Lecanora polytropa","Hrúðurfléttur","R8",3,3,3,5,4,6,5,6,NA
"Lecidea lapicida","Hrúðurfléttur","R8",1,2,2,3,1,2,1,0.5,NA
"Porpidia melinodes","Hrúðurfléttur","R8",NA,0.5,0.5,0.5,0.5,1,0.5,0.5,NA
"Porpidia tuberculosa","Hrúðurfléttur","R8",0.5,10,8,4,4,1,2,1,NA
"Rhizocarpon expallescens","Hrúðurfléttur","R8",NA,2,NA,NA,NA,NA,NA,NA,NA
"Rhizocarpon geographicum","Hrúðurfléttur","R8",2,6,5,4,5,9,3,3,NA
