"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R12",2,0,0,0.5,0.5,0,"Bjarnarholt","24. mynd"
"Massalongia carnosa","Blað- og runnfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Physcia caesia","Blað- og runnfléttur","R12",2,0,0,1,NA,NA,"Bjarnarholt","24. mynd"
"Polychidium muscicola","Blað- og runnfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Xanthoria candelaria","Blað- og runnfléttur","R12",2,0,0,6,4,-2,"Bjarnarholt","24. mynd"
"Grænþörungar","Grænþörungar","R12",2,0,0,7,NA,NA,"Bjarnarholt","24. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R12",2,0,0,4,NA,NA,"Bjarnarholt","24. mynd"
"Bryonora castanea","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Candelariella coralliza","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Candelariella vitellina","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecanora intricata","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecanora marginata","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecanora polytropa","Hrúðurfléttur","R12",2,0,0,NA,3,NA,"Bjarnarholt","24. mynd"
"Lecidea lapicida","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecidella meiococca","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lepra corallina","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Miriquidica nigroleprosa","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Ochrolechia androgyna","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Ochrolechia frigida","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Porpidia melinodes","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Protoparmeliopsis muralis","Hrúðurfléttur","R12",2,0,0,1,NA,NA,"Bjarnarholt","24. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Tremolecia atrata","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Litlar svartar askhirslu","Hrúðurfléttur","R12",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R12",2,0,0,4,18,14,"Bjarnarholt","24. mynd"
"Ber klöpp","Hrúðurfléttur","R12",2,0,0,25,5,-20,"Bjarnarholt","24. mynd"
"Andreaea rupestris","Mosar","R13",2,0,0,0.1,0.5,0.4,"Bjarnarholt","24. mynd"
"Grimmia montana","Mosar","R13",2,0,0,0.1,2,1.9,"Bjarnarholt","24. mynd"
"Racomitrium heterostichum","Mosar","R13",2,0,0,0.5,0.1,-0.4,"Bjarnarholt","24. mynd"
"Racomitrium sudeticum","Mosar","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R13",2,0,0,0.01,NA,NA,"Bjarnarholt","24. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R13",2,0,0,0.1,NA,NA,"Bjarnarholt","24. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R13",2,0,0,1,1,0,"Bjarnarholt","24. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R13",2,0,0,0.1,NA,NA,"Bjarnarholt","24. mynd"
"Candelariella vitellina","Hrúðurfléttur","R13",2,0,0,5,5,0,"Bjarnarholt","24. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R13",2,0,0,6,0.5,-5.5,"Bjarnarholt","24. mynd"
"Lecanora intricata","Hrúðurfléttur","R13",2,0,0,3,0.5,-2.5,"Bjarnarholt","24. mynd"
"Lecanora polytropa","Hrúðurfléttur","R13",2,0,0,0.5,NA,NA,"Bjarnarholt","24. mynd"
"Lecidea lapicida","Hrúðurfléttur","R13",2,0,0,1,2,1,"Bjarnarholt","24. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecidea praenubila","Hrúðurfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Lecidea sp.","Hrúðurfléttur","R13",2,0,0,NA,NA,NA,"Bjarnarholt","24. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R13",2,0,0,4,3,-1,"Bjarnarholt","24. mynd"
"Tephromela atra","Hrúðurfléttur","R13",2,0,0,0.5,NA,NA,"Bjarnarholt","24. mynd"
"Tremolecia atrata","Hrúðurfléttur","R13",2,0,0,0.01,NA,NA,"Bjarnarholt","24. mynd"
