"species","Type","Reitur","km","Fluor","Brennisteinn","2020","2023","CoverageChange","Stadur","Mynd"
"Candelariella vitellina","Hrúðurfléttur","R26",6.9,0,0,0.01,0.1,0.09,"Skvöp","15. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R26",6.9,0,0,0.5,0.5,0,"Skvöp","15. mynd"
"Lecanora intricata","Hrúðurfléttur","R26",6.9,0,0,4,6,2,"Skvöp","15. mynd"
"Lecanora polytropa","Hrúðurfléttur","R26",6.9,0,0,0.5,NA,NA,"Skvöp","15. mynd"
"Lecidea (m. litlar svartar askh.)","Hrúðurfléttur","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecidea lapicida","Hrúðurfléttur","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Lecidea sp.","Hrúðurfléttur","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R26",6.9,0,0,3,3,0,"Skvöp","15. mynd"
"Porpidia melinodes","Hrúðurfléttur","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R26",6.9,0,0,0.5,0.5,0,"Skvöp","15. mynd"
"Tremolecia atrata","Hrúðurfléttur","R26",6.9,0,0,NA,NA,NA,"Skvöp","15. mynd"
"Varicellaria lactea","Hrúðurfléttur","R26",6.9,0,0,2,3,1,"Skvöp","15. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R26",6.9,0,0,7,6,-1,"Skvöp","15. mynd"
"Ber klöpp","Hrúðurfléttur","R26",6.9,0,0,20,4,-16,"Skvöp","15. mynd"
"Andreaea rupestris","Mosar","R27",2.7,0,1,0.5,0.5,0,"Langholt","12. mynd"
"Racomitrium heterostichum","Mosar","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R27",2.7,0,1,0.5,NA,NA,"Langholt","12. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R27",2.7,0,1,0.5,0.5,0,"Langholt","12. mynd"
"Umbilicaria torrefacta","Blað- og runnfléttur","R27",2.7,0,1,1,1,0,"Langholt","12. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R27",2.7,0,1,1,NA,NA,"Langholt","12. mynd"
"Bellemerea subsorediza","Hrúðurfléttur","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Buellia aethalea","Hrúðurfléttur","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R27",2.7,0,1,3,NA,NA,"Langholt","12. mynd"
"Candelariella vitellina","Hrúðurfléttur","R27",2.7,0,1,0.5,NA,NA,"Langholt","12. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R27",2.7,0,1,0.1,NA,NA,"Langholt","12. mynd"
"Lecanora intricata","Hrúðurfléttur","R27",2.7,0,1,0.1,0.5,0.4,"Langholt","12. mynd"
"Lecanora marginata","Hrúðurfléttur","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Lecanora polytropa","Hrúðurfléttur","R27",2.7,0,1,0.5,NA,NA,"Langholt","12. mynd"
"Lecidea lapicida var. lapicida","Hrúðurfléttur","R27",2.7,0,1,1,4,3,"Langholt","12. mynd"
"Lecidea praenubila","Hrúðurfléttur","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Lecidea tesselata","Hrúðurfléttur","R27",2.7,0,1,NA,NA,NA,"Langholt","12. mynd"
"Porpidia melinodes","Hrúðurfléttur","R27",2.7,0,1,0.5,0.1,-0.4,"Langholt","12. mynd"
"Protoparmelia badia","Hrúðurfléttur","R27",2.7,0,1,1,NA,NA,"Langholt","12. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R27",2.7,0,1,6,5,-1,"Langholt","12. mynd"
"Tephromela atra","Hrúðurfléttur","R27",2.7,0,1,1,5,4,"Langholt","12. mynd"
"Tremolecia atrata","Hrúðurfléttur","R27",2.7,0,1,0.1,0.1,0,"Langholt","12. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R27",2.7,0,1,30,25,-5,"Langholt","12. mynd"
"Ber klöpp","Hrúðurfléttur","R27",2.7,0,1,0.5,NA,NA,"Langholt","12. mynd"
"Deyjandi","Hrúðurfléttur","R27",2.7,0,1,NA,25,NA,"Langholt","12. mynd"
"Andreaea rupestris","Mosar","R30",3.2,0,0,2,2,0,"Álfholt","26. mynd"
"Grimmia donniana","Mosar","R30",3.2,0,0,0.5,1,0.5,"Álfholt","26. mynd"
"Hypnum cupressiforme","Mosar","R30",3.2,0,0,3,4,1,"Álfholt","26. mynd"
"Racomitrium heterostichum","Mosar","R30",3.2,0,0,1,0.5,-0.5,"Álfholt","26. mynd"
"Racomitrium lanuginosum","Mosar","R30",3.2,0,0,NA,0.5,NA,"Álfholt","26. mynd"
"Racomitrium sudeticum","Mosar","R30",3.2,0,0,1,8,7,"Álfholt","26. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R30",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R30",3.2,0,0,0.5,NA,NA,"Álfholt","26. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R30",3.2,0,0,0.5,2,1.5,"Álfholt","26. mynd"
"Aspicilia sp.","Hrúðurfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R30",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Candelariella vitellina","Hrúðurfléttur","R30",3.2,0,0,0.1,0.01,-0.09,"Álfholt","26. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R30",3.2,0,0,1,0.5,-0.5,"Álfholt","26. mynd"
"Lecanora marginata cf.","Hrúðurfléttur","R30",3.2,0,0,23,17,-6,"Álfholt","26. mynd"
"Lecanora marginata s.str.","Hrúðurfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Lecidea atrobrunnea/praenubila","Hrúðurfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Lecidea lapicida","Hrúðurfléttur","R30",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Protoparmelia badia","Hrúðurfléttur","R30",3.2,0,0,0.5,1,0.5,"Álfholt","26. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R30",3.2,0,0,13,15,2,"Álfholt","26. mynd"
"Rhizocarpon sp.","Hrúðurfléttur","R30",3.2,0,0,2,NA,NA,"Álfholt","26. mynd"
"Sporastatia sp.","Hrúðurfléttur","R30",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Tephromela atra","Hrúðurfléttur","R30",3.2,0,0,2,2,0,"Álfholt","26. mynd"
"Tremolecia atrata","Hrúðurfléttur","R30",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R30",3.2,0,0,10,14,4,"Álfholt","26. mynd"
"Ber klöpp","Hrúðurfléttur","R30",3.2,0,0,15,10,-5,"Álfholt","26. mynd"
"Andreaea rupestris","Mosar","R31",3.2,0,0,6,4,-2,"Álfholt","26. mynd"
"Grimmia donniana","Mosar","R31",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Polytrichum piliferum","Mosar","R31",3.2,0,0,NA,0.1,NA,"Álfholt","26. mynd"
"Racomitrium fasciculare","Mosar","R31",3.2,0,0,1,5,4,"Álfholt","26. mynd"
"Racomitrium heterostichum","Mosar","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Racomitrium lanuginosum","Mosar","R31",3.2,0,0,23,24,1,"Álfholt","26. mynd"
"Racomitrium sudeticum","Mosar","R31",3.2,0,0,11,13,2,"Álfholt","26. mynd"
"Cladonia borealis","Blað- og runnfléttur","R31",3.2,0,0,0.1,0.5,0.4,"Álfholt","26. mynd"
"Cladonia subcervicornis","Blað- og runnfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R31",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R31",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Amygdalaria pelobotryon","Hrúðurfléttur","R31",3.2,0,0,0.01,NA,NA,"Álfholt","26. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R31",3.2,0,0,1,0.5,-0.5,"Álfholt","26. mynd"
"Bryonora castanea","Hrúðurfléttur","R31",3.2,0,0,0.01,NA,NA,"Álfholt","26. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R31",3.2,0,0,3,4,1,"Álfholt","26. mynd"
"Candelariella vitellina","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Catillaria contristans","Hrúðurfléttur","R31",3.2,0,0,0.01,NA,NA,"Álfholt","26. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R31",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Lecanora intricata","Hrúðurfléttur","R31",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Lecanora polytropa","Hrúðurfléttur","R31",3.2,0,0,0.1,0.01,-0.09,"Álfholt","26. mynd"
"Lecidea lapicida","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Ochrolechia androgyna","Hrúðurfléttur","R31",3.2,0,0,1,NA,NA,"Álfholt","26. mynd"
"Pertusaria sp.","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Placopsis gelida","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Porpidia flavicunda","Hrúðurfléttur","R31",3.2,0,0,0.01,0.1,0.09,"Álfholt","26. mynd"
"Porpidia melinodes","Hrúðurfléttur","R31",3.2,0,0,2,1,-1,"Álfholt","26. mynd"
"Protoparmelia badia","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R31",3.2,0,0,4,4,0,"Álfholt","26. mynd"
"Tephromela atra","Hrúðurfléttur","R31",3.2,0,0,0.5,NA,NA,"Álfholt","26. mynd"
"Tremolecia atrata","Hrúðurfléttur","R31",3.2,0,0,1,0.5,-0.5,"Álfholt","26. mynd"
"Varicellaria lactea","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Ógreind flétta","Hrúðurfléttur","R31",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R31",3.2,0,0,10,8,-2,"Álfholt","26. mynd"
"Ber klöpp","Hrúðurfléttur","R31",3.2,0,0,2,1,-1,"Álfholt","26. mynd"
"Bartramia ithyphylla","Mosar","R32",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Hypnum cupressiforme","Mosar","R32",3.2,0,0,35,47,12,"Álfholt","26. mynd"
"Schistidium flexipile","Mosar","R32",3.2,0,0,0.5,0.5,0,"Álfholt","26. mynd"
"Tortula subulata","Mosar","R32",3.2,0,0,0.5,NA,NA,"Álfholt","26. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Xanthoria parietina","Blað- og runnfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Athallia holocarpa","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Candelariella vitellina","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Lecanora polytropa","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Lepraria frigida","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Ochrolechia parella","Hrúðurfléttur","R32",3.2,0,0,2,2,0,"Álfholt","26. mynd"
"Varicellaria lactea","Hrúðurfléttur","R32",3.2,0,0,1,1,0,"Álfholt","26. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R32",3.2,0,0,0.5,0.1,-0.4,"Álfholt","26. mynd"
"litlar svartar askh., líkl. S.umbr.","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Hvít, kannski Lecidea","Hrúðurfléttur","R32",3.2,0,0,NA,NA,NA,"Álfholt","26. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R32",3.2,0,0,NA,2,NA,"Álfholt","26. mynd"
"Ber klöpp","Hrúðurfléttur","R32",3.2,0,0,40,30,-10,"Álfholt","26. mynd"
"Grimmia montana","Mosar","R33",1.4,1,1,0.5,0.5,0,"Stekkjarás","7. mynd"
"Homalothecium sericeum","Mosar","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Hypnum cupressiforme","Mosar","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Pterigynandrum filiforme","Mosar","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"mosi","Mosar","R33",1.4,1,1,0.5,0.5,0,"Stekkjarás","7. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R33",1.4,1,1,53,50,-3,"Stekkjarás","7. mynd"
"Ramalina subfarinacea","Blað- og runnfléttur","R33",1.4,1,1,15,17,2,"Stekkjarás","7. mynd"
"Amandinea punctata","Hrúðurfléttur","R33",1.4,1,1,2,1,-1,"Stekkjarás","7. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R33",1.4,1,1,9,9,0,"Stekkjarás","7. mynd"
"Aspicilia sp.","Hrúðurfléttur","R33",1.4,1,1,1,NA,NA,"Stekkjarás","7. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Candelariella sp.","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Candelariella vitellina","Hrúðurfléttur","R33",1.4,1,1,1,1,0,"Stekkjarás","7. mynd"
"Lecanora intricata","Hrúðurfléttur","R33",1.4,1,1,1,0.1,-0.9,"Stekkjarás","7. mynd"
"Lecanora polytropa","Hrúðurfléttur","R33",1.4,1,1,1,0.01,-0.99,"Stekkjarás","7. mynd"
"Lecanora sp.","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lecidella meiococca","Hrúðurfléttur","R33",1.4,1,1,2,1,-1,"Stekkjarás","7. mynd"
"Lecidella scabra cf.","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lepraria frigida","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lepraria neglecta","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R33",1.4,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Rhizocarpon sp.","Hrúðurfléttur","R33",1.4,1,1,2,NA,NA,"Stekkjarás","7. mynd"
"Scoliciosporum umbrinum","Hrúðurfléttur","R33",1.4,1,1,0.01,NA,NA,"Stekkjarás","7. mynd"
"Tephromela atra","Hrúðurfléttur","R33",1.4,1,1,0.5,NA,NA,"Stekkjarás","7. mynd"
"Verrucaria aethiobola","Hrúðurfléttur","R33",1.4,1,1,3,2,-1,"Stekkjarás","7. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R33",1.4,1,1,10,8,-2,"Stekkjarás","7. mynd"
"Ber klöpp","Hrúðurfléttur","R33",1.4,1,1,NA,1,NA,"Stekkjarás","7. mynd"
"Andreaea rupestris","Mosar","R34",1.5,1,1,5,6,1,"Stekkjarás","7. mynd"
"Racomitrium fasciculare","Mosar","R34",1.5,1,1,2,1,-1,"Stekkjarás","7. mynd"
"Racomitrium sp.","Mosar","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Sphaerophorus fragilis","Blað- og runnfléttur","R34",1.5,1,1,NA,0.5,NA,"Stekkjarás","7. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R34",1.5,1,1,25,21,-4,"Stekkjarás","7. mynd"
"Aspicilia cinerea","Hrúðurfléttur","R34",1.5,1,1,2,0.5,-1.5,"Stekkjarás","7. mynd"
"Bellemerea subsorediza","Hrúðurfléttur","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lecanora intricata","Hrúðurfléttur","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lecanora marginata","Hrúðurfléttur","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lecanora polytropa","Hrúðurfléttur","R34",1.5,1,1,3,0.5,-2.5,"Stekkjarás","7. mynd"
"Lepraria sp.","Hrúðurfléttur","R34",1.5,1,1,1,NA,NA,"Stekkjarás","7. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R34",1.5,1,1,3,11,8,"Stekkjarás","7. mynd"
"Tephromela atra","Hrúðurfléttur","R34",1.5,1,1,0.5,0.5,0,"Stekkjarás","7. mynd"
"Tremolecia atrata","Hrúðurfléttur","R34",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Litlar svartar askhirslur","Hrúðurfléttur","R34",1.5,1,1,1,NA,NA,"Stekkjarás","7. mynd"
"Svart hrúður","Hrúðurfléttur","R34",1.5,1,1,3,5,2,"Stekkjarás","7. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R34",1.5,1,1,20,13,-7,"Stekkjarás","7. mynd"
"Ber klöpp","Hrúðurfléttur","R34",1.5,1,1,2,1,-1,"Stekkjarás","7. mynd"
"Andreaea rupestris","Mosar","R35",1.5,1,1,1,1,0,"Stekkjarás","7. mynd"
"Racomitrium fasciculare","Mosar","R35",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Racomitrium heterostichum","Mosar","R35",1.5,1,1,1,NA,NA,"Stekkjarás","7. mynd"
"Racomitrium sudeticum","Mosar","R35",1.5,1,1,12,17,5,"Stekkjarás","7. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R35",1.5,1,1,0.5,0.5,0,"Stekkjarás","7. mynd"
"Umbilicaria cylindrica","Blað- og runnfléttur","R35",1.5,1,1,10,17,7,"Stekkjarás","7. mynd"
"Umbilicaria proboscidea","Blað- og runnfléttur","R35",1.5,1,1,0.1,NA,NA,"Stekkjarás","7. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R35",1.5,1,1,3,2,-1,"Stekkjarás","7. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R35",1.5,1,1,0.5,0.5,0,"Stekkjarás","7. mynd"
"Candelariella vitellina","Hrúðurfléttur","R35",1.5,1,1,0.01,0.01,0,"Stekkjarás","7. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R35",1.5,1,1,2,2,0,"Stekkjarás","7. mynd"
"Lecanora intricata","Hrúðurfléttur","R35",1.5,1,1,1,1,0,"Stekkjarás","7. mynd"
"Lecanora polytropa","Hrúðurfléttur","R35",1.5,1,1,3,0.5,-2.5,"Stekkjarás","7. mynd"
"Lecidea lapicida","Hrúðurfléttur","R35",1.5,1,1,2,5,3,"Stekkjarás","7. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R35",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Lecidea sp.","Hrúðurfléttur","R35",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Protoparmelia badia","Hrúðurfléttur","R35",1.5,1,1,NA,NA,NA,"Stekkjarás","7. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R35",1.5,1,1,7,10,3,"Stekkjarás","7. mynd"
"Tephromela atra","Hrúðurfléttur","R35",1.5,1,1,3,2,-1,"Stekkjarás","7. mynd"
"Tremolecia atrata","Hrúðurfléttur","R35",1.5,1,1,0.1,0.1,0,"Stekkjarás","7. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R35",1.5,1,1,15,17,2,"Stekkjarás","7. mynd"
"Ber klöpp","Hrúðurfléttur","R35",1.5,1,1,2,1,-1,"Stekkjarás","7. mynd"
"Andreaea rupestris","Mosar","R36",3,0,0,0.5,0.5,0,"Kalmansá","20. mynd"
"Antitrichia curtipendula","Mosar","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Grimmia montana","Mosar","R36",3,0,0,8,11,3,"Kalmansá","20. mynd"
"Hypnum cupressiforme","Mosar","R36",3,0,0,3,3,0,"Kalmansá","20. mynd"
"Racomitrium fasciculare","Mosar","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Racomitrium heterostichum","Mosar","R36",3,0,0,3,1,-2,"Kalmansá","20. mynd"
"Racomitrium lanuginosum","Mosar","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Dauður mosi","Mosar","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Ephebe lanata","Blað- og runnfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Physcia caesia","Blað- og runnfléttur","R36",3,0,0,0.5,0.5,0,"Kalmansá","20. mynd"
"Stereocaulon vesuvianum","Blað- og runnfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Amygdalaria pelobotryon","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R36",3,0,0,2,2,0,"Kalmansá","20. mynd"
"Calvitimela aglaea","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Candelariella vitellina","Hrúðurfléttur","R36",3,0,0,NA,0.01,NA,"Kalmansá","20. mynd"
"Catillaria contristans","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Flavoplaca citrina","Hrúðurfléttur","R36",3,0,0,6,2,-4,"Kalmansá","20. mynd"
"Immersaria athroocarpa","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecanora intricata","Hrúðurfléttur","R36",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Lecanora marginata","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecanora polytropa","Hrúðurfléttur","R36",3,0,0,NA,0.01,NA,"Kalmansá","20. mynd"
"Lecanora straminea","Hrúðurfléttur","R36",3,0,0,NA,1,NA,"Kalmansá","20. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Lecidea sp.","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Pertusaria aspergilla","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Pertusaria pseudocorallina cf.","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Porpidia flavicunda","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R36",3,0,0,0.5,0.1,-0.4,"Kalmansá","20. mynd"
"Rinodina sp.","Hrúðurfléttur","R36",3,0,0,4,7,3,"Kalmansá","20. mynd"
"Tephromela atra","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Tremolecia atrata","Hrúðurfléttur","R36",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R36",3,0,0,NA,10,NA,"Kalmansá","20. mynd"
"Ber klöpp","Hrúðurfléttur","R36",3,0,0,NA,10,NA,"Kalmansá","20. mynd"
"Andreaea rupestris","Mosar","R37",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Bartramia ithyphylla","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Frullania tamarisci","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Grimmia montana","Mosar","R37",3,0,0,3,3,0,"Kalmansá","20. mynd"
"Hypnum cupressiforme","Mosar","R37",3,0,0,16,24,8,"Kalmansá","20. mynd"
"Orthotrichum rupestre","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Pogonatum urnigerum","Mosar","R37",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"Racomitrium fasciculare","Mosar","R37",3,0,0,2,1,-1,"Kalmansá","20. mynd"
"Racomitrium lanuginosum","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Schistidium confertum","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Syntrichia ruralis","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Tortula muralis","Mosar","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Parmelia saxatilis","Blað- og runnfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Physcia caesia","Blað- og runnfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Scytinium lichenoides","Blað- og runnfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Xanthoria candelaria","Blað- og runnfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Aspicilia cinerea safnteg.","Hrúðurfléttur","R37",3,0,0,2,NA,NA,"Kalmansá","20. mynd"
"Candelariella vitellina","Hrúðurfléttur","R37",3,0,0,0.1,NA,NA,"Kalmansá","20. mynd"
"Lecanora intricata","Hrúðurfléttur","R37",3,0,0,0.1,2,1.9,"Kalmansá","20. mynd"
"Lecanora polytropa","Hrúðurfléttur","R37",3,0,0,1,0.1,-0.9,"Kalmansá","20. mynd"
"Lecidea lapicida var. pantherina","Hrúðurfléttur","R37",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Lecidella euphoria-Porpidia?´07","Hrúðurfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Ochrolechia parella","Hrúðurfléttur","R37",3,0,0,32,23,-9,"Kalmansá","20. mynd"
"Porpidia tuberculosa","Hrúðurfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Rhizocarpon geographicum","Hrúðurfléttur","R37",3,0,0,0.5,0.5,0,"Kalmansá","20. mynd"
"Rhizocarpon sp. (lavatum?)","Hrúðurfléttur","R37",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"Tephromela atra","Hrúðurfléttur","R37",3,0,0,NA,NA,NA,"Kalmansá","20. mynd"
"Tremolecia atrata","Hrúðurfléttur","R37",3,0,0,0.5,NA,NA,"Kalmansá","20. mynd"
"Verrucaria sp.","Hrúðurfléttur","R37",3,0,0,NA,0.5,NA,"Kalmansá","20. mynd"
"m. litlar svartar askhirslur","Hrúðurfléttur","R37",3,0,0,3,NA,NA,"Kalmansá","20. mynd"
"Óaðgreindar tegundir","Hrúðurfléttur","R37",3,0,0,7,7,0,"Kalmansá","20. mynd"
"Ber klöpp","Hrúðurfléttur","R37",3,0,0,4,4,0,"Kalmansá","20. mynd"
